[INFO 03:21:28]saferun_ptrace starting (mode: deny)
[INFO 03:21:28]PID 499 syscall #59 (execve)
[INFO 03:21:28]PID 499 syscall #12 (brk)
[INFO 03:21:28]PID 499 syscall #9 (mmap)
[INFO 03:21:28]PID 499 syscall #21 (access)
[INFO 03:21:28]PID 499 syscall #257 (openat)
[INFO 03:21:28]PID 499 syscall #5 (fstat)
[INFO 03:21:28]PID 499 syscall #9 (mmap)
[INFO 03:21:28]PID 499 syscall #3 (close)
[INFO 03:21:28]PID 499 syscall #257 (openat)
[INFO 03:21:28]PID 499 syscall #0 (read)
[INFO 03:21:28]PID 499 syscall #5 (fstat)
[INFO 03:21:28]PID 499 syscall #9 (mmap)
[INFO 03:21:28]PID 499 syscall #9 (mmap)
[INFO 03:21:28]PID 499 syscall #9 (mmap)
[INFO 03:21:28]PID 499 syscall #9 (mmap)
[INFO 03:21:28]PID 499 syscall #9 (mmap)
[INFO 03:21:28]PID 499 syscall #3 (close)
[INFO 03:21:28]PID 499 syscall #257 (openat)
[INFO 03:21:28]PID 499 syscall #0 (read)
[INFO 03:21:28]PID 499 syscall #17 (pread64)
[INFO 03:21:28]PID 499 syscall #5 (fstat)
[INFO 03:21:28]PID 499 syscall #17 (pread64)
[INFO 03:21:28]PID 499 syscall #9 (mmap)
[INFO 03:21:28]PID 499 syscall #9 (mmap)
[INFO 03:21:28]PID 499 syscall #9 (mmap)
[INFO 03:21:28]PID 499 syscall #9 (mmap)
[INFO 03:21:28]PID 499 syscall #9 (mmap)
[INFO 03:21:28]PID 499 syscall #3 (close)
[INFO 03:21:28]PID 499 syscall #257 (openat)
[INFO 03:21:28]PID 499 syscall #0 (read)
[INFO 03:21:28]PID 499 syscall #5 (fstat)
[INFO 03:21:28]PID 499 syscall #9 (mmap)
[INFO 03:21:28]PID 499 syscall #9 (mmap)
[INFO 03:21:28]PID 499 syscall #9 (mmap)
[INFO 03:21:28]PID 499 syscall #9 (mmap)
[INFO 03:21:28]PID 499 syscall #3 (close)
[INFO 03:21:28]PID 499 syscall #9 (mmap)
[INFO 03:21:28]PID 499 syscall #158 (arch_prctl)
[INFO 03:21:28]PID 499 syscall #218 (set_tid_address)
[INFO 03:21:28]PID 499 syscall #273 (set_robust_list)
[INFO 03:21:28]PID 499 syscall #334 (rseq)
[INFO 03:21:28]PID 499 syscall #10 (mprotect)
[INFO 03:21:28]PID 499 syscall #10 (mprotect)
[INFO 03:21:28]PID 499 syscall #10 (mprotect)
[INFO 03:21:28]PID 499 syscall #10 (mprotect)
[INFO 03:21:28]PID 499 syscall #10 (mprotect)
[INFO 03:21:28]PID 499 syscall #302 (prlimit64)
[INFO 03:21:28]PID 499 syscall #11 (munmap)
[INFO 03:21:28]PID 499 syscall #137 (statfs)
[INFO 03:21:28]PID 499 syscall #137 (statfs)
[INFO 03:21:28]PID 499 syscall #318 (getrandom)
[INFO 03:21:28]PID 499 syscall #12 (brk)
[INFO 03:21:28]PID 499 syscall #12 (brk)
[INFO 03:21:28]PID 499 syscall #257 (openat)
[INFO 03:21:28]PID 499 syscall #5 (fstat)
[INFO 03:21:28]PID 499 syscall #0 (read)
[INFO 03:21:28]PID 499 syscall #3 (close)
[INFO 03:21:28]PID 499 syscall #257 (openat)
[INFO 03:21:28]PID 499 syscall #5 (fstat)
[INFO 03:21:28]PID 499 syscall #0 (read)
[INFO 03:21:28]PID 499 syscall #0 (read)
[INFO 03:21:28]PID 499 syscall #0 (read)
[INFO 03:21:28]PID 499 syscall #0 (read)
[INFO 03:21:28]PID 499 syscall #3 (close)
[INFO 03:21:28]PID 499 syscall #21 (access)
[INFO 03:21:28]PID 499 syscall #257 (openat)
[INFO 03:21:28]PID 499 syscall #257 (openat)
[INFO 03:21:28]PID 499 syscall #5 (fstat)
[INFO 03:21:28]PID 499 syscall #0 (read)
[INFO 03:21:28]PID 499 syscall #0 (read)
[INFO 03:21:28]PID 499 syscall #3 (close)
[INFO 03:21:28]PID 499 syscall #257 (openat)
[INFO 03:21:28]PID 499 syscall #257 (openat)
[INFO 03:21:28]PID 499 syscall #5 (fstat)
[INFO 03:21:28]PID 499 syscall #9 (mmap)
[INFO 03:21:28]PID 499 syscall #3 (close)
[INFO 03:21:28]PID 499 syscall #257 (openat)
[INFO 03:21:28]PID 499 syscall #5 (fstat)
